GBLUP,EGBLUP,BayesA,BayesL,RF,RKHS
94.216,94.61171,94.207,94.215,94.296,94.623
94.683,95.04657,94.627,94.635,95.134,94.788
94.698,94.82858,94.645,94.659,95.255,94.791
93.847,93.64699,93.775,93.764,92.902,93.625
94.589,95.49316,94.606,94.614,94.934,95.007
93.867,94.77471,93.907,93.868,96.196,94.366
94.643,96.15447,94.781,94.714,96.768,94.941
95.242,96.32348,95.449,95.408,98.086,95.929
95.242,96.35081,95.449,95.408,98.086,95.929
95.242,96.30963,95.449,95.408,98.086,95.929
94.216,94.64015,94.207,94.215,94.296,94.623
94.698,94.84199,94.645,94.659,95.255,94.791
94.817,95.16233,94.872,94.839,96.427,95.053
94.589,95.51315,94.606,94.614,94.934,95.007
94.567,95.48632,94.571,94.582,94.891,95.048
94.643,96.1061,94.781,94.714,96.768,94.941
95.242,96.33378,95.449,95.408,98.086,95.929
93.806,94.91635,93.877,93.821,96.322,94.508
93.823,92.69338,93.889,93.859,91.979,93.167
95.119,96.13104,95.209,95.169,97.943,95.715
94.986,94.82362,95.191,95.152,94.908,95.003
94.698,94.83947,94.645,94.659,95.255,94.791
94.698,94.87114,94.645,94.659,95.255,94.791
93.847,93.62076,93.775,93.764,92.902,93.625
94.216,94.6077,94.207,94.215,94.296,94.623
94.562,94.60817,94.411,94.47,90.76,94.616
93.856,94.43162,93.959,93.877,95.672,94.38
93.806,94.8841,93.877,93.821,96.322,94.508
95.242,96.35724,95.449,95.408,98.086,95.929
95.242,96.30988,95.449,95.408,98.086,95.929
95.242,96.35516,95.449,95.408,98.086,95.929
94.698,94.83279,94.645,94.659,95.255,94.791
